Id;Label;Tipo;CategoriaNo
ALEXANDRE FURTADO FERREIRA;ALEXANDRE FURTADO FERREIRA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE HUGO CEZAR BARROS;ALEXANDRE HUGO CEZAR BARROS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE MARCO DA SILVA;ALEXANDRE MARCO DA SILVA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE MARTINEZ DOS SANTOS;ALEXANDRE MARTINEZ DOS SANTOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE MARTINS FERNANDES;ALEXANDRE MARTINS FERNANDES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE MATTOS PERON;ALEXANDRE MATTOS PERON;EGRESSO;EGRESSO
ALEXANDRE MELLO FERREIRA;ALEXANDRE MELLO FERREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE MELO DE OLIVEIRA;ALEXANDRE MELO DE OLIVEIRA;EGRESSO;EGRESSO
ALEXANDRE MENDES ABRAO;ALEXANDRE MENDES ABRAO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE NICOLAOS SIMOS;ALEXANDRE NICOLAOS SIMOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE PIÇARRA;ALEXANDRE PIÇARRA;NÃO INFORMADO;NAO_INFORMADO
ALEXANDRE RIBEIRO FREITAS;ALEXANDRE RIBEIRO FREITAS;EGRESSO;EGRESSO
ALEXANDRE ROCCO;ALEXANDRE ROCCO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE RODRIGUES TORRES;ALEXANDRE RODRIGUES TORRES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE ROSSI;ALEXANDRE ROSSI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE SALEM SZKLO;ALEXANDRE SALEM SZKLO;DOCENTE;DOCENTE_NAO_PRIMEIRO
ALEXANDRE SANTOS FRANCISCO;ALEXANDRE SANTOS FRANCISCO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE SILVA GUIMARAES;ALEXANDRE SILVA GUIMARAES;PÓS-DOC;POS_DOC
ALEXANDRE SILVEIRA;ALEXANDRE SILVEIRA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXANDRE SILVEIRA AMARO DA SILVA;ALEXANDRE SILVEIRA AMARO DA SILVA;EGRESSO;EGRESSO
ALEXANDRE SIMINSKI;ALEXANDRE SIMINSKI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXANDRE STREET DE AGUIAR;ALEXANDRE STREET DE AGUIAR;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALEXIA BRANDAO RIBEIRO;ALEXIA BRANDAO RIBEIRO;EGRESSO;EGRESSO
ALEXSANDRO DA SILVA;ALEXSANDRO DA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALEXSANDRO DA SILVA ALVES;ALEXSANDRO DA SILVA ALVES;DISCENTE;DISCENTE
ALFEU JOAOZINHO SGUAREZI FILHO;ALFEU JOAOZINHO SGUAREZI FILHO;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
ALFEU SARAIVA RAMOS;ALFEU SARAIVA RAMOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALFREDO AKIRA OHNUMA JUNIOR;ALFREDO AKIRA OHNUMA JUNIOR;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALFREDO DE OLIVEIRA ASSIS;ALFREDO DE OLIVEIRA ASSIS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALFREDO EDMUNDO HUESPE;ALFREDO EDMUNDO HUESPE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALFREDO GAY NETO;ALFREDO GAY NETO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALFREDO MANOEL DA SILVA FERNANDES;ALFREDO MANOEL DA SILVA FERNANDES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALFREDO ROCHA DE FARIA;ALFREDO ROCHA DE FARIA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALI AKBAR AGHA MOHAMMADI;ALI AKBAR AGHA MOHAMMADI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALI KARIMI;ALI KARIMI;NÃO INFORMADO;NAO_INFORMADO
ALI KHOSRAVI;ALI KHOSRAVI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALICE GAMEIRO LEONEL;ALICE GAMEIRO LEONEL;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALICJA DOMARACKA;ALICJA DOMARACKA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALINE CARNEIRO VIANA IANNONE;ALINE CARNEIRO VIANA IANNONE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALINE DAMASCENO PELLICANI;ALINE DAMASCENO PELLICANI;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALINE VERONESE DA SILVA;ALINE VERONESE DA SILVA;EGRESSO;EGRESSO
ALISON DE OLIVEIRA MORAES;ALISON DE OLIVEIRA MORAES;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALISON TATIANA MADRID SANI;ALISON TATIANA MADRID SANI;EGRESSO;EGRESSO
ALISSON ROCHA MACHADO;ALISSON ROCHA MACHADO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALLAN CAVALCANTE ARAUJO;ALLAN CAVALCANTE ARAUJO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALLAN RODRIGUES SILVA;ALLAN RODRIGUES SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALOISIO NELMO KLEIN;ALOISIO NELMO KLEIN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALOYSIO PORTUGAL MAIA SALIBA;ALOYSIO PORTUGAL MAIA SALIBA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALUISIO VIAIS PANTALEAO;ALUISIO VIAIS PANTALEAO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALVARO AUGUSTO MACHADO DE MEDEIROS;ALVARO AUGUSTO MACHADO DE MEDEIROS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALVARO CESAR RIBEIRO ORTELAN;ALVARO CESAR RIBEIRO ORTELAN;DISCENTE;DISCENTE
ALVARO FRAGA;ALVARO FRAGA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALVICLÉR MAGALHÃES;ALVICLÉR MAGALHÃES;NÃO INFORMADO;NAO_INFORMADO
ALYSSON HELTON SANTOS BUENO;ALYSSON HELTON SANTOS BUENO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALYSSON LUCAS VIEIRA;ALYSSON LUCAS VIEIRA;DISCENTE;DISCENTE
ALZIRA MARQUES DE OLIVEIRA;ALZIRA MARQUES DE OLIVEIRA;EGRESSO;EGRESSO
AM PEREIRA;AM PEREIRA;NÃO INFORMADO;NAO_INFORMADO
AMANDA DUARTE ESCOBAL MAZZU;AMANDA DUARTE ESCOBAL MAZZU;DISCENTE;DISCENTE
AMANDA LOUISI DOS SANTOS GALVAO;AMANDA LOUISI DOS SANTOS GALVAO;DISCENTE;DISCENTE
AMANDA QUINTAIROS E SILVA;AMANDA QUINTAIROS E SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AMANDA ROSSI DE OLIVEIRA;AMANDA ROSSI DE OLIVEIRA;EGRESSO;EGRESSO
AMARILDO DA CRUZ FERNANDES;AMARILDO DA CRUZ FERNANDES;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMARO OLIMPIO PEREIRA JUNIOR;AMARO OLIMPIO PEREIRA JUNIOR;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMAURI ANTONIO MENEGARIO;AMAURI ANTONIO MENEGARIO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AMAURI GARCIA;AMAURI GARCIA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AMAURY AUGUSTO DE ALMEIDA;AMAURY AUGUSTO DE ALMEIDA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AMERICO BARBOSA DA CUNHA JUNIOR;AMERICO BARBOSA DA CUNHA JUNIOR;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMERICO SCOTTI;AMERICO SCOTTI;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMILTON RODRIGUES DA SILVA;AMILTON RODRIGUES DA SILVA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMILTON SINATORA;AMILTON SINATORA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMIR KHAJEPOUR;AMIR KHAJEPOUR;NÃO INFORMADO;NAO_INFORMADO
AMIR ZACARIAS MESQUITA;AMIR ZACARIAS MESQUITA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMIT BHAYA;AMIT BHAYA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AMY J CLARKE;AMY J CLARKE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANA CAROLINA BARBOSA FREIRE;ANA CAROLINA BARBOSA FREIRE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANA CAROLINA BRISOLA BRIZZI;ANA CAROLINA BRISOLA BRIZZI;DISCENTE;DISCENTE
ANA CAROLINA CAVALCANTI RIBEIRO GONCALVES;ANA CAROLINA CAVALCANTI RIBEIRO GONCALVES;EGRESSO;EGRESSO
ANA CAROLINA CAZANI;ANA CAROLINA CAZANI;DISCENTE;DISCENTE
ANA CAROLINA CUSTODIO LOPES;ANA CAROLINA CUSTODIO LOPES;DISCENTE;DISCENTE
ANA CAROLINA DE CAMPOS RIBEIRO;ANA CAROLINA DE CAMPOS RIBEIRO;DISCENTE;DISCENTE
ANA CAROLINA DIAS BAESSO;ANA CAROLINA DIAS BAESSO;DISCENTE;DISCENTE
ANA CAROLINA DUARTE BONA;ANA CAROLINA DUARTE BONA;DISCENTE;DISCENTE
ANA CAROLINA SANTOS ARAUJO;ANA CAROLINA SANTOS ARAUJO;EGRESSO;EGRESSO
ANA CATARINA JORGE EVANGELISTA;ANA CATARINA JORGE EVANGELISTA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANA CLAUDIA DIAS;ANA CLAUDIA DIAS;EGRESSO;EGRESSO
ANA CRISTINA DE MELO FERREIRA;ANA CRISTINA DE MELO FERREIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ANA CRISTINA OLIVEIRA CANCORO DE MATOS;ANA CRISTINA OLIVEIRA CANCORO DE MATOS;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
