Id;Label;Tipo;CategoriaNo
ADRIEL MONTI DE NARDI;ADRIEL MONTI DE NARDI;DISCENTE;DISCENTE
AFONSO HENRIQUES;AFONSO HENRIQUES;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AGNALDO DE SOUZA GONCALVES;AGNALDO DE SOUZA GONCALVES;PÓS-DOC;POS_DOC
AGNALDO JOSE FERRARI;AGNALDO JOSE FERRARI;PARTICIPANTE EXTERNO;DOCENTE_PRIMEIRO_AUTOR
AGNES FERREIRA DE SOUZA;AGNES FERREIRA DE SOUZA;EGRESSO;EGRESSO
AGUINALDO NEPOMUCENO MARQUES JUNIOR;AGUINALDO NEPOMUCENO MARQUES JUNIOR;PARTICIPANTE EXTERNO;DOCENTE_NAO_PRIMEIRO
AGUINALDO ROBINSON DE SOUZA;AGUINALDO ROBINSON DE SOUZA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AGUSTINA PESCE;AGUSTINA PESCE;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
AILTON JOSE MOREIRA;AILTON JOSE MOREIRA;PÓS-DOC;POS_DOC
AILTON RIBEIRO DE OLIVEIRA;AILTON RIBEIRO DE OLIVEIRA;EGRESSO;EGRESSO
AIRTON C MARTINS;AIRTON C MARTINS;NÃO INFORMADO;NAO_INFORMADO
AIRTON DAMASCENO SILVA;AIRTON DAMASCENO SILVA;EGRESSO;EGRESSO
AIRTON DEPPMAN;AIRTON DEPPMAN;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
AISLAN LEAL FONTES;AISLAN LEAL FONTES;EGRESSO;EGRESSO
AJMIR KHAN;AJMIR KHAN;EGRESSO;EGRESSO
AKBAR ALI;AKBAR ALI;EGRESSO;EGRESSO
AKIF AKGÜL;AKIF AKGÜL;NÃO INFORMADO;NAO_INFORMADO
ALAN ANDERSON DA SILVA PEREIRA;ALAN ANDERSON DA SILVA PEREIRA;EGRESSO;EGRESSO
ALAN BRAGANCA ZORDAN;ALAN BRAGANCA ZORDAN;DISCENTE;DISCENTE
ALAN BRAGANÇA ZORDAN;ALAN BRAGANÇA ZORDAN;NÃO INFORMADO;NAO_INFORMADO
ALAN COSTA DOS SANTOS;ALAN COSTA DOS SANTOS;PÓS-DOC;POS_DOC
ALAN DE ARAUJO GUIMARAES;ALAN DE ARAUJO GUIMARAES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ALAN DEMETRIUS BARIA VALEJO;ALAN DEMETRIUS BARIA VALEJO;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ALAN DO NASCIMENTO MUNIZ;ALAN DO NASCIMENTO MUNIZ;EGRESSO;EGRESSO
ALAN JAMES STEWART;ALAN JAMES STEWART;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
